epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,270.256,1.54674,1.13563,1.34329,0.83332,0.818,0.88796,0.54526,1.45744,1.06234,1.30638,0.000848969,0.000848969,0.000848969
43,276.846,1.55351,1.14077,1.36012,0.85183,0.82576,0.90791,0.54747,1.462,1.05508,1.30388,0.000834822,0.000834822,0.000834822
44,283.297,1.55239,1.1577,1.30727,0.88599,0.80642,0.90367,0.54476,1.47506,1.06372,1.30218,0.000820675,0.000820675,0.000820675
45,289.574,1.58168,1.18066,1.34694,0.88599,0.80642,0.90367,0.54476,1.47506,1.06372,1.30218,0.000806528,0.000806528,0.000806528
46,296.003,1.5439,1.14135,1.3267,0.8243,0.86474,0.90201,0.53949,1.48848,1.05155,1.30417,0.00079238,0.00079238,0.00079238
47,302.391,1.54386,1.14125,1.34615,0.82889,0.86419,0.90382,0.53765,1.52153,1.05138,1.32198,0.000778233,0.000778233,0.000778233
48,308.887,1.54935,1.10591,1.349,0.83305,0.88929,0.90601,0.54172,1.50899,1.03759,1.32642,0.000764086,0.000764086,0.000764086
49,315.17,1.51699,1.07996,1.31085,0.84786,0.87852,0.90836,0.5478,1.4749,1.01965,1.31966,0.000749939,0.000749939,0.000749939
50,321.657,1.5051,1.09229,1.32222,0.85453,0.88604,0.91262,0.55004,1.41865,0.99418,1.29446,0.000735792,0.000735792,0.000735792
51,339.688,1.51848,1.08638,1.32895,0.86133,0.88151,0.91266,0.55752,1.39833,0.98552,1.2822,0.000721645,0.000721645,0.000721645
52,348.028,1.5314,1.1058,1.35585,0.85897,0.87537,0.91151,0.55746,1.40424,0.99233,1.28232,0.000707498,0.000707498,0.000707498
53,355.907,1.50521,1.06841,1.33169,0.85897,0.87537,0.91151,0.55746,1.40424,0.99233,1.28232,0.000693351,0.000693351,0.000693351
54,363.777,1.49527,1.06291,1.31855,0.87618,0.86386,0.911,0.55054,1.41892,1.00662,1.28773,0.000679204,0.000679204,0.000679204
55,371.343,1.48365,1.06558,1.29695,0.89584,0.84605,0.9095,0.54661,1.431,1.01988,1.28547,0.000665057,0.000665057,0.000665057
56,379.612,1.49237,1.08323,1.30568,0.88401,0.84985,0.91134,0.54819,1.42514,1.01185,1.27764,0.000650909,0.000650909,0.000650909
57,387.035,1.51717,1.06823,1.32577,0.88995,0.84596,0.9105,0.55547,1.44183,1.01503,1.28457,0.000636762,0.000636762,0.000636762
58,394.642,1.50635,1.05906,1.29274,0.91154,0.82191,0.90968,0.55948,1.42895,0.99708,1.27135,0.000622615,0.000622615,0.000622615
59,402.452,1.47348,1.04595,1.31682,0.91157,0.82331,0.91345,0.56639,1.40595,0.98152,1.26907,0.000608468,0.000608468,0.000608468
60,410.141,1.45655,1.04341,1.30704,0.92361,0.8261,0.91315,0.56291,1.40505,0.9836,1.27126,0.000594321,0.000594321,0.000594321
61,417.7,1.44461,1.04068,1.30887,0.92361,0.8261,0.91315,0.56291,1.40505,0.9836,1.27126,0.000580174,0.000580174,0.000580174
62,425.409,1.48372,1.02702,1.28058,0.93034,0.82054,0.91351,0.56687,1.40651,0.9797,1.27196,0.000566027,0.000566027,0.000566027
63,433.187,1.45771,1.02954,1.28146,0.9085,0.84037,0.91212,0.56201,1.41263,0.9893,1.27268,0.00055188,0.00055188,0.00055188
64,441.049,1.42891,1.03747,1.28042,0.91025,0.84531,0.912,0.55643,1.40872,0.99276,1.26572,0.000537733,0.000537733,0.000537733
65,448.394,1.39524,0.99153,1.24935,0.8859,0.87,0.91319,0.56013,1.39485,0.99391,1.2615,0.000523586,0.000523586,0.000523586
66,455.711,1.49005,1.08091,1.34499,0.88886,0.8454,0.89247,0.55932,1.38781,0.98622,1.25953,0.000509438,0.000509438,0.000509438
67,463.161,1.48818,1.04714,1.28992,0.90838,0.83315,0.88923,0.5558,1.37787,0.98858,1.25242,0.000495291,0.000495291,0.000495291
68,470.391,1.44202,1.02229,1.26937,0.90544,0.83702,0.88932,0.55948,1.39328,1.00437,1.25881,0.000481144,0.000481144,0.000481144
69,478.022,1.43485,1.0118,1.27113,0.90544,0.83702,0.88932,0.55948,1.39328,1.00437,1.25881,0.000466997,0.000466997,0.000466997
70,485.883,1.40324,0.98116,1.26315,0.90107,0.83678,0.89004,0.55336,1.39094,0.99179,1.2535,0.00045285,0.00045285,0.00045285
71,494.287,1.43623,1.0128,1.29641,0.90025,0.84161,0.88895,0.54898,1.39026,0.97707,1.25692,0.000438703,0.000438703,0.000438703
72,502.053,1.41684,0.9989,1.26355,0.90291,0.84177,0.88903,0.55134,1.40001,0.96521,1.26017,0.000424556,0.000424556,0.000424556
73,511.095,1.43976,1.01111,1.25243,0.89933,0.84596,0.89212,0.55486,1.39833,0.95252,1.25836,0.000410409,0.000410409,0.000410409
74,518.494,1.46295,0.97505,1.27315,0.89946,0.85477,0.9131,0.56219,1.38075,0.94391,1.251,0.000396262,0.000396262,0.000396262
75,526.005,1.42689,0.99388,1.28279,0.88609,0.86802,0.91443,0.56239,1.375,0.93574,1.251,0.000382115,0.000382115,0.000382115
76,535.879,1.43881,1.00456,1.28456,0.90786,0.84072,0.91494,0.56489,1.36672,0.93214,1.24946,0.000367967,0.000367967,0.000367967
77,544.485,1.45136,1.03235,1.27121,0.90786,0.84072,0.91494,0.56489,1.36672,0.93214,1.24946,0.00035382,0.00035382,0.00035382
78,551.751,1.47452,1.00493,1.28708,0.93044,0.83095,0.91621,0.56909,1.36668,0.93053,1.24595,0.000339673,0.000339673,0.000339673
79,558.724,1.38996,0.96226,1.2625,0.90837,0.82085,0.89545,0.56551,1.37215,0.93839,1.24996,0.000325526,0.000325526,0.000325526
80,569.294,1.37764,0.98311,1.26272,0.87203,0.84596,0.89525,0.56847,1.38082,0.93999,1.2549,0.000311379,0.000311379,0.000311379
81,587.104,1.41004,0.98758,1.27083,0.90652,0.83526,0.89355,0.55553,1.39019,0.94229,1.25126,0.000297232,0.000297232,0.000297232
82,602.145,1.45159,1.02138,1.29678,0.9147,0.82559,0.89528,0.55352,1.39687,0.94376,1.26314,0.000283085,0.000283085,0.000283085
83,611.501,1.46343,0.96719,1.26749,0.91375,0.82484,0.89489,0.55186,1.3898,0.94335,1.25769,0.000268938,0.000268938,0.000268938
84,623.147,1.44058,0.99879,1.25533,0.89392,0.84596,0.89286,0.55351,1.39011,0.94503,1.25438,0.000254791,0.000254791,0.000254791
85,634.388,1.45545,1.04983,1.27237,0.89392,0.84596,0.89286,0.55351,1.39011,0.94503,1.25438,0.000240644,0.000240644,0.000240644
86,642.041,1.40336,0.94414,1.2677,0.88808,0.85293,0.89254,0.55486,1.39588,0.95,1.25796,0.000226497,0.000226497,0.000226497
87,651.786,1.38359,0.96211,1.22352,0.90365,0.83668,0.89388,0.55449,1.38587,0.95143,1.25558,0.000212349,0.000212349,0.000212349
88,669.066,1.40437,0.95024,1.25459,0.89813,0.84228,0.89273,0.55201,1.38359,0.94951,1.25178,0.000198202,0.000198202,0.000198202
89,682.266,1.42252,0.99122,1.245,0.90247,0.83707,0.89258,0.55317,1.374,0.94198,1.24794,0.000184055,0.000184055,0.000184055
90,689.659,1.3917,0.95786,1.26794,0.9064,0.83062,0.89285,0.55206,1.37196,0.93817,1.24766,0.000169908,0.000169908,0.000169908
91,701.974,1.39536,1.09055,1.258,0.89473,0.85555,0.89374,0.55067,1.35941,0.93168,1.23648,0.000155761,0.000155761,0.000155761
92,709.537,1.40184,1.09288,1.22781,0.88515,0.85187,0.88658,0.54036,1.35001,0.98284,1.22255,0.000141614,0.000141614,0.000141614
93,716.925,1.33993,1.02818,1.23563,0.88515,0.85187,0.88658,0.54036,1.35001,0.98284,1.22255,0.000127467,0.000127467,0.000127467
94,723.358,1.35471,1.03309,1.2399,0.86668,0.84769,0.88428,0.53696,1.35701,0.99224,1.22776,0.00011332,0.00011332,0.00011332
95,731.172,1.34007,1.015,1.19316,0.87186,0.87607,0.89361,0.53598,1.35339,0.98926,1.22697,9.91726e-05,9.91726e-05,9.91726e-05
96,740.143,1.36315,1.02536,1.20425,0.8592,0.87519,0.8689,0.53627,1.351,1.0098,1.21933,8.50255e-05,8.50255e-05,8.50255e-05
97,750.002,1.3197,0.97741,1.20103,0.86231,0.87871,0.87033,0.5374,1.34892,1.00568,1.22172,7.08784e-05,7.08784e-05,7.08784e-05
98,758.584,1.359,1.01236,1.22684,0.85717,0.87871,0.8712,0.53845,1.35276,0.98862,1.22256,5.67313e-05,5.67313e-05,5.67313e-05
99,765.426,1.34159,0.9866,1.21617,0.86038,0.86358,0.87043,0.53143,1.35832,0.98739,1.22355,4.25842e-05,4.25842e-05,4.25842e-05
100,772.14,1.33629,0.99216,1.20838,0.85695,0.87518,0.87206,0.53377,1.35833,0.98823,1.22328,2.84371e-05,2.84371e-05,2.84371e-05
