epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65305,2.70764,4.0598,2.41043,0.00042,0.04444,0.0001,1e-05,4.05299,4.14228,3.19787,0.00018577,0.00018577,0.00018577
2,20.8671,2.3442,3.54222,2.21391,0.00275,0.06667,0.00054,0.00011,3.75591,4.16806,3.13088,0.000383284,0.000383284,0.000383284
3,33.6758,2.1174,2.79436,2.00875,0.00786,0.23901,0.07639,0.03535,3.44018,4.22677,3.00248,0.000578156,0.000578156,0.000578156
4,50.5899,2.07079,2.36955,1.83132,0.84409,0.18523,0.23639,0.08669,3.02389,3.39617,2.46603,0.000770388,0.000770388,0.000770388
