epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,341.014,1.24136,0.87414,1.15002,0.82671,0.83241,0.88713,0.54984,1.21226,0.89399,1.15316,0.00104231,0.00104231,0.00104231
43,347.855,1.23906,0.89175,1.162,0.87232,0.80495,0.89171,0.55805,1.20602,0.88516,1.15713,0.00103288,0.00103288,0.00103288
44,354.719,1.21618,0.86606,1.13302,0.83974,0.84839,0.89197,0.5574,1.20444,0.87162,1.15555,0.00102345,0.00102345,0.00102345
45,361.584,1.24457,0.86627,1.13951,0.85826,0.84509,0.88663,0.55199,1.20714,0.86302,1.15697,0.00101402,0.00101402,0.00101402
46,368.457,1.26398,0.85363,1.14199,0.85417,0.84432,0.88016,0.54682,1.23635,0.87427,1.16318,0.00100459,0.00100459,0.00100459
47,375.337,1.23145,0.84701,1.13413,0.85168,0.84332,0.88405,0.54091,1.23156,0.87181,1.16021,0.000995156,0.000995156,0.000995156
48,382.321,1.21293,0.85224,1.13067,0.85922,0.83927,0.88457,0.55487,1.20656,0.86062,1.14741,0.000985724,0.000985724,0.000985724
49,389.193,1.25759,0.84476,1.14936,0.8468,0.86337,0.88213,0.5546,1.20405,0.87328,1.14165,0.000976293,0.000976293,0.000976293
50,396.024,1.21087,0.83825,1.11527,0.84984,0.86292,0.88139,0.55474,1.20337,0.87673,1.14626,0.000966861,0.000966861,0.000966861
51,402.87,1.2386,0.87199,1.15417,0.84568,0.85806,0.88285,0.55366,1.21141,0.88701,1.15276,0.00095743,0.00095743,0.00095743
52,409.843,1.24761,0.84387,1.1301,0.83863,0.84905,0.88603,0.54205,1.21736,0.88106,1.15526,0.000947999,0.000947999,0.000947999
53,416.704,1.20726,0.85409,1.12755,0.83067,0.86084,0.88435,0.55611,1.20534,0.87278,1.16717,0.000938567,0.000938567,0.000938567
54,423.548,1.22181,0.84317,1.11225,0.85604,0.84372,0.8833,0.55787,1.21666,0.89217,1.17319,0.000929136,0.000929136,0.000929136
55,430.482,1.21745,0.81389,1.10625,0.87289,0.8271,0.87822,0.56081,1.20789,0.90666,1.16141,0.000919704,0.000919704,0.000919704
56,437.549,1.21794,0.87942,1.12689,0.84148,0.82957,0.87122,0.55065,1.21554,0.90869,1.15298,0.000910273,0.000910273,0.000910273
57,444.943,1.20203,0.84674,1.11845,0.84805,0.83558,0.88099,0.56045,1.20715,0.87205,1.15034,0.000900842,0.000900842,0.000900842
58,452.128,1.18065,0.84638,1.11665,0.83639,0.85281,0.89429,0.57204,1.18495,0.85395,1.14667,0.00089141,0.00089141,0.00089141
59,459.005,1.19953,0.8258,1.12191,0.83885,0.8352,0.90112,0.57467,1.18951,0.84633,1.14727,0.000881979,0.000881979,0.000881979
60,465.992,1.18711,0.82197,1.11591,0.83171,0.84863,0.89704,0.5727,1.19903,0.84701,1.14737,0.000872547,0.000872547,0.000872547
61,472.884,1.18799,0.8339,1.10758,0.82079,0.85471,0.88304,0.55832,1.21292,0.86277,1.14434,0.000863116,0.000863116,0.000863116
62,479.924,1.18553,0.81468,1.11151,0.81777,0.8575,0.87922,0.55274,1.21183,0.85493,1.14153,0.000853685,0.000853685,0.000853685
63,486.892,1.22588,0.82995,1.11556,0.81163,0.85447,0.88224,0.56593,1.20102,0.8481,1.14182,0.000844253,0.000844253,0.000844253
64,493.793,1.18881,0.80751,1.10996,0.82927,0.82961,0.88193,0.56956,1.19382,0.83887,1.14578,0.000834822,0.000834822,0.000834822
65,500.921,1.16171,0.80301,1.094,0.81599,0.84664,0.87854,0.56613,1.18916,0.83604,1.1447,0.00082539,0.00082539,0.00082539
66,507.887,1.1811,0.80569,1.10487,0.83188,0.85043,0.87426,0.555,1.19158,0.84148,1.14256,0.000815959,0.000815959,0.000815959
